-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	4	63544	82407	48520	|	0.91626	0.76356	0.58878	0.66488	|	0.91346	0.73786	0.58047	0.64977	|	[4] <= [12, 15, 18, 24], direct
4	4	49342	82407	44469	|	0.92670	0.90124	0.53962	0.67505	|	0.92526	0.88423	0.53489	0.66656	|	[4] <= [12, 15, 18, 24], -iterate/-dimlex
4	5	63942	82407	50674	|	0.92295	0.79249	0.61492	0.69250	|	0.92046	0.76974	0.60800	0.67937	|	[4] <= [12, 15, 18, 21, 27], direct
4	5	53100	82407	48535	|	0.93419	0.91403	0.58896	0.71634	|	0.93286	0.89935	0.58504	0.70892	|	[4] <= [12, 15, 18, 21, 27], -iterate/-dimlex
4	4	64367	82407	50439	|	0.92142	0.78361	0.61207	0.68730	|	0.91905	0.76214	0.60545	0.67482	|	[4] <= [12, 15, 18, 21], direct
4	4	53733	82407	48333	|	0.93241	0.89950	0.58651	0.71004	|	0.93103	0.88450	0.58243	0.70236	|	[4] <= [12, 15, 18, 21], -iterate/-dimlex
4	5	60170	82407	47893	|	0.91989	0.79596	0.58117	0.67181	|	0.91734	0.77124	0.57347	0.65782	|	[4] <= [12, 15, 18, 21, 24], direct
4	5	48449	82407	44074	|	0.92688	0.90969	0.53483	0.67362	|	0.92546	0.89262	0.53011	0.66519	|	[4] <= [12, 15, 18, 21, 24], -iterate/-dimlex
4	6	63677	82407	50434	|	0.92258	0.79202	0.61201	0.69047	|	0.91980	0.76647	0.60419	0.67573	|	[4] <= [7, 15, 18, 21, 24, 27], direct
4	6	50295	82407	46467	|	0.93191	0.92388	0.56387	0.70032	|	0.93042	0.90659	0.55921	0.69174	|	[4] <= [7, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	67441	82407	52713	|	0.92394	0.78161	0.63966	0.70355	|	0.92081	0.75449	0.63148	0.68753	|	[4] <= [7, 18, 21, 24, 27], direct
4	5	53178	82407	49832	|	0.93850	0.93707	0.60470	0.73506	|	0.93656	0.91582	0.59921	0.72443	|	[4] <= [7, 18, 21, 24, 27], -iterate/-dimlex
4	4	73320	82407	54569	|	0.92023	0.74425	0.66218	0.70082	|	0.91698	0.71835	0.65422	0.68479	|	[4] <= [7, 21, 24, 27], direct
4	4	58891	82407	52638	|	0.93832	0.89382	0.63875	0.74506	|	0.93674	0.87809	0.63465	0.73678	|	[4] <= [7, 21, 24, 27], -iterate/-dimlex
4	3	77831	82407	53889	|	0.91018	0.69238	0.65393	0.67261	|	0.90667	0.66603	0.64510	0.65540	|	[4] <= [7, 24, 27], direct
4	3	54094	82407	48955	|	0.93393	0.90499	0.59406	0.71728	|	0.93216	0.88595	0.58892	0.70753	|	[4] <= [7, 24, 27], -iterate/-dimlex
4	2	88423	82407	57647	|	0.90491	0.65194	0.69954	0.67490	|	0.90327	0.64111	0.69600	0.66743	|	[4] <= [7, 27], direct
4	2	65711	82407	56424	|	0.93961	0.85866	0.68469	0.76187	|	0.93871	0.85061	0.68266	0.75744	|	[4] <= [7, 27], -iterate/-dimlex
4	1	62326	82407	48601	|	0.91862	0.77978	0.58976	0.67159	|	0.91718	0.76634	0.58555	0.66385	|	[4] <= [7], direct
4	1	50265	82407	46395	|	0.93171	0.92300	0.56299	0.69939	|	0.93095	0.91411	0.56061	0.69499	|	[4] <= [7], -iterate/-dimlex
4	2	84218	82407	53961	|	0.89949	0.64073	0.65481	0.64769	|	0.89601	0.61655	0.64606	0.63096	|	[4] <= [7, 24], direct
4	2	58078	82407	51984	|	0.93748	0.89507	0.63082	0.74006	|	0.93586	0.87881	0.62654	0.73154	|	[4] <= [7, 24], -iterate/-dimlex
4	3	73527	82407	55044	|	0.92150	0.74862	0.66795	0.70599	|	0.91883	0.72739	0.66154	0.69290	|	[4] <= [7, 21, 27], direct
4	3	59415	82407	53256	|	0.93954	0.89633	0.64625	0.75102	|	0.93827	0.88381	0.64303	0.74443	|	[4] <= [7, 21, 27], -iterate/-dimlex
4	2	80174	82407	57213	|	0.91755	0.71361	0.69427	0.70380	|	0.91487	0.69406	0.68834	0.69119	|	[4] <= [7, 21], direct
4	2	64195	82407	55642	|	0.93953	0.86676	0.67520	0.75908	|	0.93829	0.85551	0.67233	0.75294	|	[4] <= [7, 21], -iterate/-dimlex
4	3	69382	82407	51919	|	0.91790	0.74830	0.63003	0.68409	|	0.91483	0.72249	0.62181	0.66838	|	[4] <= [7, 21, 24], direct
4	3	52702	82407	49133	|	0.93692	0.93227	0.59622	0.72730	|	0.93543	0.91579	0.59192	0.71907	|	[4] <= [7, 21, 24], -iterate/-dimlex
4	4	72335	82407	53301	|	0.91758	0.73686	0.64680	0.68890	|	0.91415	0.70922	0.63802	0.67174	|	[4] <= [7, 18, 24, 27], direct
4	4	54847	82407	50235	|	0.93702	0.91591	0.60959	0.73200	|	0.93537	0.89835	0.60498	0.72304	|	[4] <= [7, 18, 24, 27], -iterate/-dimlex
4	3	73106	82407	54033	|	0.91876	0.73910	0.65568	0.69490	|	0.91622	0.71877	0.64936	0.68230	|	[4] <= [7, 18, 27], direct
4	3	56615	82407	51694	|	0.93899	0.91307	0.62730	0.74368	|	0.93765	0.89926	0.62373	0.73657	|	[4] <= [7, 18, 27], -iterate/-dimlex
4	2	79538	82407	55299	|	0.91209	0.69525	0.67104	0.68293	|	0.90946	0.67599	0.66481	0.67035	|	[4] <= [7, 18], direct
4	2	60502	82407	53850	|	0.93972	0.89005	0.65346	0.75362	|	0.93848	0.87816	0.65041	0.74732	|	[4] <= [7, 18], -iterate/-dimlex
4	3	69054	82407	50634	|	0.91406	0.73325	0.61443	0.66860	|	0.91069	0.70470	0.60499	0.65105	|	[4] <= [7, 18, 24], direct
4	3	49387	82407	46100	|	0.93221	0.93344	0.55941	0.69957	|	0.93034	0.91135	0.55350	0.68872	|	[4] <= [7, 18, 24], -iterate/-dimlex
4	4	71796	82407	54652	|	0.92313	0.76121	0.66319	0.70883	|	0.92040	0.73905	0.65656	0.69537	|	[4] <= [7, 18, 21, 27], direct
4	4	59241	82407	53130	|	0.93941	0.89684	0.64472	0.75016	|	0.93757	0.87873	0.64003	0.74062	|	[4] <= [7, 18, 21, 27], -iterate/-dimlex
4	3	66517	82407	51854	|	0.92258	0.77956	0.62924	0.69638	|	0.91993	0.75624	0.62213	0.68266	|	[4] <= [7, 18, 21], direct
4	3	51662	82407	49268	|	0.93916	0.95366	0.59786	0.73496	|	0.93759	0.93587	0.59332	0.72623	|	[4] <= [7, 18, 21], -iterate/-dimlex
4	4	66848	82407	51663	|	0.92136	0.77284	0.62692	0.69227	|	0.91827	0.74584	0.61857	0.67626	|	[4] <= [7, 18, 21, 24], direct
4	4	51736	82407	48479	|	0.93633	0.93704	0.58828	0.72279	|	0.93454	0.91684	0.58299	0.71276	|	[4] <= [7, 18, 21, 24], -iterate/-dimlex
4	5	65055	82407	50415	|	0.92016	0.77495	0.61178	0.68376	|	0.91736	0.74984	0.60392	0.66902	|	[4] <= [7, 15, 21, 24, 27], direct
4	5	51527	82407	46680	|	0.93053	0.90593	0.56645	0.69705	|	0.92907	0.88937	0.56192	0.68870	|	[4] <= [7, 15, 21, 24, 27], -iterate/-dimlex
4	4	70116	82407	51530	|	0.91531	0.73492	0.62531	0.67570	|	0.91206	0.70786	0.61648	0.65902	|	[4] <= [7, 15, 24, 27], direct
4	4	53425	82407	47697	|	0.93076	0.89278	0.57879	0.70229	|	0.92923	0.87601	0.57416	0.69367	|	[4] <= [7, 15, 24, 27], -iterate/-dimlex
4	3	69879	82407	51553	|	0.91580	0.73774	0.62559	0.67705	|	0.91369	0.72013	0.61991	0.66627	|	[4] <= [7, 15, 27], direct
4	3	54995	82407	49153	|	0.93306	0.89377	0.59646	0.71546	|	0.93197	0.88218	0.59332	0.70947	|	[4] <= [7, 15, 27], -iterate/-dimlex
4	2	74743	82407	52048	|	0.90916	0.69635	0.63159	0.66239	|	0.90707	0.68003	0.62606	0.65193	|	[4] <= [7, 15], direct
4	2	57050	82407	49819	|	0.93182	0.87325	0.60454	0.71447	|	0.93076	0.86234	0.60154	0.70871	|	[4] <= [7, 15], -iterate/-dimlex
