-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	1	63488	85705	51483	|	0.92130	0.81090	0.60070	0.69015	|	0.91593	0.76129	0.58546	0.66190	|	[4] <= [12], direct
4	1	54814	85705	49616	|	0.92971	0.90517	0.57891	0.70618	|	0.92868	0.89413	0.57592	0.70058	|	[4] <= [12], -iterate/-dimlex
4	2	84187	85705	56930	|	0.90460	0.67623	0.66425	0.67019	|	0.89951	0.64068	0.65210	0.64634	|	[4] <= [12, 24], direct
4	2	62891	85705	55071	|	0.93453	0.87565	0.64256	0.74121	|	0.93379	0.86872	0.64073	0.73751	|	[4] <= [12, 24], -iterate/-dimlex
4	3	69427	85705	52510	|	0.91468	0.75633	0.61268	0.67697	|	0.91300	0.74208	0.60816	0.66848	|	[4] <= [12, 21, 27], direct
4	3	56631	85705	50841	|	0.93078	0.89775	0.59320	0.71438	|	0.93069	0.89678	0.59294	0.71388	|	[4] <= [12, 21, 27], -iterate/-dimlex
4	2	55215	85705	42759	|	0.90568	0.77440	0.49890	0.60685	|	0.90448	0.76165	0.49475	0.59986	|	[4] <= [12, 21], direct
4	2	44698	85705	40358	|	0.91541	0.90290	0.47089	0.61897	|	0.91495	0.89697	0.46925	0.61616	|	[4] <= [12, 21], -iterate/-dimlex
4	3	63210	85705	47684	|	0.90883	0.75437	0.55637	0.64041	|	0.90750	0.74195	0.55227	0.63321	|	[4] <= [12, 21, 24], direct
4	3	47839	85705	43070	|	0.91929	0.90031	0.50253	0.64503	|	0.91875	0.89360	0.50066	0.64176	|	[4] <= [12, 21, 24], -iterate/-dimlex
4	4	67946	85705	50875	|	0.91164	0.74875	0.59360	0.66221	|	0.91036	0.73776	0.59003	0.65567	|	[4] <= [12, 18, 24, 27], direct
4	4	51680	85705	47913	|	0.92924	0.92710	0.55904	0.69749	|	0.92923	0.92695	0.55900	0.69742	|	[4] <= [12, 18, 24, 27], -iterate/-dimlex
4	3	73093	85705	52723	|	0.90917	0.72131	0.61516	0.66402	|	0.90759	0.70861	0.61095	0.65617	|	[4] <= [12, 18, 27], direct
4	3	55042	85705	49398	|	0.92858	0.89746	0.57637	0.70194	|	0.92850	0.89669	0.57616	0.70155	|	[4] <= [12, 18, 27], -iterate/-dimlex
4	2	78119	85705	57117	|	0.91557	0.73115	0.66643	0.69729	|	0.91254	0.70834	0.65935	0.68297	|	[4] <= [12, 18], direct
4	2	62396	85705	54948	|	0.93495	0.88063	0.64112	0.74203	|	0.93434	0.87486	0.63961	0.73896	|	[4] <= [12, 18], -iterate/-dimlex
