27	7	44867	89001	43068	|	0.93136	0.95990	0.48390	0.64343	|	0.92590	0.87532	0.46091	0.60386	|	[27] <= [4, 7, 12, 15, 18, 21, 24], -iterate/-dimlex	th=0.6
4	7	40398	85705	36866	|	0.91084	0.91256	0.43014	0.58469	|	0.90120	0.77241	0.38984	0.51816	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct	th=0.7
4	7	34595	85705	33904	|	0.91063	0.98002	0.39558	0.56365	|	0.90573	0.89689	0.37460	0.52847	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.7
7	7	44861	89781	42103	|	0.92708	0.93852	0.46895	0.62540	|	0.91872	0.80967	0.43241	0.56375	|	[7] <= [4, 12, 15, 18, 21, 24, 27], direct	th=0.7
7	7	36818	89781	36672	|	0.92300	0.99603	0.40846	0.57934	|	0.92001	0.93981	0.39450	0.55572	|	[7] <= [4, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.7
12	7	51434	84380	48788	|	0.94943	0.94855	0.57819	0.71845	|	0.94700	0.91276	0.56878	0.70084	|	[12] <= [4, 7, 15, 18, 21, 24, 27], direct	th=0.7
12	7	47720	84380	47584	|	0.95116	0.99715	0.56392	0.72042	|	0.95007	0.97994	0.55964	0.71242	|	[12] <= [4, 7, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.7
15	7	46834	34864	12126	|	0.91952	0.25891	0.34780	0.29684	|	0.91064	0.12343	0.20270	0.15343	|	[15] <= [4, 7, 12, 18, 21, 24, 27], direct	th=0.7
15	7	40187	34864	9212	|	0.92067	0.22922	0.26422	0.24548	|	0.91328	0.09786	0.13293	0.11273	|	[15] <= [4, 7, 12, 18, 21, 24, 27], -iterate/-dimlex	th=0.7
18	7	40826	65036	37270	|	0.95670	0.91289	0.57306	0.70412	|	0.94023	0.62100	0.47728	0.53974	|	[18] <= [4, 7, 12, 15, 21, 24, 27], direct	th=0.7
18	7	34747	65036	34052	|	0.95621	0.97999	0.52358	0.68252	|	0.94852	0.81998	0.47905	0.60477	|	[18] <= [4, 7, 12, 15, 21, 24, 27], -iterate/-dimlex	th=0.7
21	7	54529	66915	41908	|	0.94919	0.76854	0.62628	0.69016	|	0.93907	0.63107	0.57914	0.60399	|	[21] <= [4, 7, 12, 15, 18, 24, 27], direct	th=0.7
