-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	4	1104	5023	789	|	0.91273	0.71467	0.15707	0.25754	|	0.90802	0.49184	0.11366	0.18466	|	[4] <= [24, 27, 30, 33], -iterate/-dimlex
4	5	2610	5023	1044	|	0.89363	0.4	0.20784	0.27354	|	0.88724	0.27241	0.15159	0.19479	|	[4] <= [21, 27, 30, 33, 36], direct
4	5	1024	5023	768	|	0.91346	0.75	0.15289	0.25401	|	0.91153	0.65136	0.13551	0.22435	|	[4] <= [21, 27, 30, 33, 36], -iterate/-dimlex
4	4	3287	5023	1179	|	0.88582	0.35868	0.23472	0.28375	|	0.87782	0.23182	0.16543	0.19308	|	[4] <= [21, 30, 33, 36], direct
4	4	1228	5023	881	|	0.91389	0.71742	0.17539	0.28187	|	0.91189	0.63273	0.15795	0.25280	|	[4] <= [21, 30, 33, 36], -iterate/-dimlex
4	3	3047	5023	1086	|	0.88686	0.35641	0.21620	0.26914	|	0.87773	0.20019	0.13415	0.16065	|	[4] <= [21, 33, 36], direct
4	3	1057	5023	776	|	0.91314	0.73415	0.15448	0.25526	|	0.90871	0.51561	0.11373	0.18635	|	[4] <= [21, 33, 36], -iterate/-dimlex
4	2	5398	5023	1418	|	0.85450	0.26268	0.28230	0.27214	|	0.83765	0.10003	0.13027	0.11317	|	[4] <= [21, 36], direct
4	2	1520	5023	1003	|	0.91296	0.65986	0.19968	0.30658	|	0.90934	0.53552	0.16839	0.25621	|	[4] <= [21, 36], -iterate/-dimlex
4	1	3035	5023	1095	|	0.88743	0.36079	0.21799	0.27177	|	0.87328	0.11762	0.08331	0.09754	|	[4] <= [21], direct
4	1	1109	5023	813	|	0.91356	0.73309	0.16185	0.26516	|	0.90731	0.43913	0.10368	0.16775	|	[4] <= [21], -iterate/-dimlex
4	2	5395	5023	1430	|	0.85501	0.26506	0.28469	0.27452	|	0.84232	0.14235	0.17610	0.15744	|	[4] <= [21, 33], direct
4	2	1496	5023	1049	|	0.91519	0.70120	0.20883	0.32182	|	0.91256	0.60962	0.18665	0.28580	|	[4] <= [21, 33], -iterate/-dimlex
4	3	3095	5023	1123	|	0.88736	0.36284	0.22357	0.27666	|	0.87832	0.21066	0.14323	0.17052	|	[4] <= [21, 30, 36], direct
4	3	1115	5023	800	|	0.91295	0.71748	0.15926	0.26067	|	0.91089	0.62152	0.14096	0.22981	|	[4] <= [21, 30, 36], -iterate/-dimlex
4	2	4875	5023	1381	|	0.86311	0.28328	0.27493	0.27904	|	0.85133	0.15733	0.17396	0.16523	|	[4] <= [21, 30], direct
4	2	1524	5023	1037	|	0.91419	0.68044	0.20645	0.31678	|	0.91170	0.59514	0.18536	0.28268	|	[4] <= [21, 30], -iterate/-dimlex
4	3	2925	5023	1070	|	0.88858	0.36581	0.21302	0.26925	|	0.88170	0.24307	0.15244	0.18737	|	[4] <= [21, 30, 33], direct
4	3	1043	5023	797	|	0.91421	0.76414	0.15867	0.26277	|	0.91245	0.67593	0.14297	0.23602	|	[4] <= [21, 30, 33], -iterate/-dimlex
4	4	3355	5023	1174	|	0.88432	0.34992	0.23372	0.28025	|	0.87621	0.22384	0.16326	0.18881	|	[4] <= [21, 27, 33, 36], direct
4	4	1180	5023	872	|	0.91446	0.73898	0.17360	0.28115	|	0.90949	0.51949	0.12867	0.20625	|	[4] <= [21, 27, 33, 36], -iterate/-dimlex
4	3	3212	5023	1107	|	0.88450	0.34464	0.22038	0.26885	|	0.87521	0.19396	0.13725	0.16075	|	[4] <= [21, 27, 36], direct
4	3	1070	5023	822	|	0.91465	0.76822	0.16364	0.26981	|	0.90961	0.52242	0.11743	0.19176	|	[4] <= [21, 27, 36], -iterate/-dimlex
4	2	5561	5023	1382	|	0.84999	0.24851	0.27513	0.26114	|	0.83762	0.13253	0.16834	0.14830	|	[4] <= [21, 27], direct
4	2	1373	5023	914	|	0.91237	0.66569	0.18196	0.28580	|	0.90700	0.46176	0.13367	0.20732	|	[4] <= [21, 27], -iterate/-dimlex
4	3	3036	5023	1050	|	0.88569	0.34584	0.20903	0.26057	|	0.87867	0.22529	0.14687	0.17782	|	[4] <= [21, 27, 33], direct
4	3	1020	5023	775	|	0.91381	0.75980	0.15429	0.25649	|	0.91202	0.66862	0.13833	0.22924	|	[4] <= [21, 27, 33], -iterate/-dimlex
4	4	3384	5023	1197	|	0.88465	0.35372	0.23830	0.28476	|	0.87644	0.22724	0.16735	0.19275	|	[4] <= [21, 27, 30, 36], direct
4	4	1187	5023	868	|	0.91417	0.73125	0.17280	0.27954	|	0.91210	0.64026	0.15462	0.24909	|	[4] <= [21, 27, 30, 36], -iterate/-dimlex
4	3	3094	5023	1090	|	0.88611	0.35229	0.21700	0.26857	|	0.87838	0.22204	0.14870	0.17811	|	[4] <= [21, 27, 30], direct
4	3	1046	5023	806	|	0.91450	0.77055	0.16046	0.26561	|	0.91248	0.67017	0.14253	0.23507	|	[4] <= [21, 27, 30], -iterate/-dimlex
4	4	3281	5023	1173	|	0.88571	0.35751	0.23352	0.28251	|	0.87859	0.24443	0.17239	0.20219	|	[4] <= [21, 27, 30, 33], direct
4	4	1203	5023	870	|	0.91394	0.72319	0.17320	0.27947	|	0.91195	0.63674	0.15572	0.25024	|	[4] <= [21, 27, 30, 33], -iterate/-dimlex
4	5	2354	5023	986	|	0.89631	0.41886	0.19629	0.26731	|	0.88993	0.27740	0.13923	0.18540	|	[4] <= [21, 24, 30, 33, 36], direct
4	5	1041	5023	750	|	0.91245	0.72046	0.14931	0.24736	|	0.90763	0.47934	0.10456	0.17168	|	[4] <= [21, 24, 30, 33, 36], -iterate/-dimlex
4	4	3011	5023	1105	|	0.88828	0.36698	0.21998	0.27508	|	0.87918	0.20956	0.13871	0.16693	|	[4] <= [21, 24, 33, 36], direct
4	4	1163	5023	830	|	0.91318	0.71367	0.16523	0.26834	|	0.90784	0.47463	0.11633	0.18686	|	[4] <= [21, 24, 33, 36], -iterate/-dimlex
4	3	2736	5023	1035	|	0.89087	0.37828	0.20605	0.26678	|	0.87876	0.14766	0.09198	0.11335	|	[4] <= [21, 24, 36], direct
4	3	1083	5023	767	|	0.91229	0.70821	0.15269	0.25122	|	0.90690	0.44875	0.10248	0.16686	|	[4] <= [21, 24, 36], -iterate/-dimlex
4	2	4334	5023	1298	|	0.87030	0.29949	0.25841	0.27743	|	0.85503	0.11582	0.11876	0.11727	|	[4] <= [21, 24], direct
4	2	1402	5023	968	|	0.91389	0.69044	0.19271	0.30132	|	0.90744	0.45078	0.13484	0.20758	|	[4] <= [21, 24], -iterate/-dimlex
4	3	2503	5023	952	|	0.89215	0.38034	0.18952	0.25298	|	0.88494	0.23012	0.12395	0.16111	|	[4] <= [21, 24, 33], direct
4	3	956	5023	699	|	0.91212	0.73117	0.13915	0.23381	|	0.90738	0.47280	0.09463	0.15771	|	[4] <= [21, 24, 33], -iterate/-dimlex
4	4	3045	5023	1133	|	0.88870	0.37208	0.22556	0.28086	|	0.87993	0.22200	0.14805	0.17763	|	[4] <= [21, 24, 30, 36], direct
4	4	1192	5023	844	|	0.91316	0.70805	0.16802	0.27160	|	0.90800	0.48238	0.12095	0.19340	|	[4] <= [21, 24, 30, 36], -iterate/-dimlex
4	3	2589	5023	999	|	0.89230	0.38586	0.19888	0.26248	|	0.88444	0.22750	0.12768	0.16356	|	[4] <= [21, 24, 30], direct
4	3	1038	5023	761	|	0.91293	0.73314	0.15150	0.25111	|	0.90750	0.46050	0.10084	0.16545	|	[4] <= [21, 24, 30], -iterate/-dimlex
4	4	2942	5023	1111	|	0.88983	0.37763	0.22118	0.27897	|	0.88250	0.24779	0.15707	0.19227	|	[4] <= [21, 24, 30, 33], direct
4	4	1205	5023	865	|	0.91371	0.71784	0.17220	0.27777	|	0.90869	0.50041	0.12665	0.20214	|	[4] <= [21, 24, 30, 33], -iterate/-dimlex
4	5	2355	5023	963	|	0.89541	0.40891	0.19171	0.26104	|	0.88897	0.26624	0.13377	0.17807	|	[4] <= [21, 24, 27, 33, 36], direct
4	5	1014	5023	728	|	0.91212	0.71794	0.14493	0.24117	|	0.90734	0.47238	0.10033	0.16551	|	[4] <= [21, 24, 27, 33, 36], -iterate/-dimlex
4	4	3150	5023	1115	|	0.88599	0.35396	0.22197	0.27284	|	0.87709	0.20666	0.14279	0.16889	|	[4] <= [21, 24, 27, 36], direct
4	4	1150	5023	826	|	0.91327	0.71826	0.16444	0.26761	|	0.90794	0.47652	0.11548	0.18592	|	[4] <= [21, 24, 27, 36], -iterate/-dimlex
4	3	2667	5023	921	|	0.88782	0.34533	0.18335	0.23953	|	0.87972	0.18710	0.10845	0.13731	|	[4] <= [21, 24, 27], direct
4	3	947	5023	678	|	0.91149	0.71594	0.13497	0.22713	|	0.90589	0.40760	0.08158	0.13596	|	[4] <= [21, 24, 27], -iterate/-dimlex
